"kommunenummer","KomNavn","pop2000","pop2022","pop2034","pop2050","pop_change_2000_2022","pop_change_2022_2034","pop_change_2022_2050","km2_2000","km2_2022","km2_2034","km2_2050","km2_change_2000_2022","km2_change_2022_2034","km2_change_2022_2050"
5514,"Ibestad",1763,1289,1346,1302,-474,57,13,0.287765217391303,0.329086956521738,0.351626086956522,0.381678260869565,0.041321739130435,0.0225391304347839,0.052591304347827
3424,"Rendalen",2257,1722,1999,2055,-535,277,333,1.03904999999999,1.19193260869565,1.27532312252965,1.3865104743083,0.15288260869566,0.0833905138339999,0.19457786561265
3120,"Rakkestad",7076,8312,8846,9392,1236,534,1080,4.02363586956517,5.8870858695652,6.9035131422925,8.25874950592886,1.86345000000003,1.0164272727273,2.37166363636366
3207,"Nordre Follo",48347,61032,68704,73983,12685,7672,12951,10.8179217391304,14.7379304347826,16.8761169960474,19.7270324110672,3.9200086956522,2.1381865612648,4.9891019762846
5047,"Overhalla",3659,3817,4085,4098,158,268,281,0.697010869565217,0.726632608695652,0.742789920948617,0.764333003952569,0.0296217391304351,0.0161573122529649,0.0377003952569169
3438,"Sør-Fron",3322,3064,3108,3137,-258,44,73,0.7733152173913,1.04883260869565,1.19911482213439,1.39949110671937,0.27551739130435,0.15028221343874,0.35065849802372
3420,"Elverum",18046,21435,22212,22590,3389,777,1155,4.88112065217388,6.74601847826085,7.76323547430831,9.11952480237155,1.86489782608697,1.01721699604746,2.3735063241107
1560,"Tingvoll",3148,2960,3118,3158,-188,158,198,0.665285869565216,0.720948913043477,0.75131057312253,0.791792786561265,0.055663043478261,0.0303616600790531,0.070843873517788
3103,"Moss",39921,50290,56130,60744,10369,5840,10454,15.2427423913042,20.1514402173913,22.8289117588933,26.3988738142292,4.9086978260871,2.677471541502,6.2474335968379
4651,"Stryn",6666,7207,7269,7205,541,62,-2,4.30434782608697,3.83157391304348,3.57369723320158,3.22986166007905,-0.47277391304349,-0.2578766798419,-0.60171225296443
4601,"Bergen",229496,286930,308491,321493,57434,21561,34563,54.657997826087,54.6917673913044,54.7101871541502,54.7347468379447,0.0337695652174048,0.0184197628457952,0.0429794466402953
1820,"Alstahaug",7440,7333,7513,7290,-107,180,-43,0.603645652173906,0.795423913043475,0.90003023715415,1.03950533596838,0.191778260869569,0.104606324110675,0.244081422924905
3422,"Åmot",4379,4195,4756,4856,-184,561,661,2.52753260869564,3.41442391304348,3.89818280632411,4.54319466403162,0.88689130434784,0.48375889328063,1.12877075098814
1806,"Narvik",21498,21530,20950,19973,32,-580,-1557,14.613495652174,13.6744434782609,13.162233201581,12.4792861660079,-0.939052173913101,-0.5122102766799,-1.195157312253
1120,"Klepp",13789,20163,22744,24766,6374,2581,4603,6.39739565217388,8.83467391304347,10.1640984189723,11.9366644268775,2.43727826086959,1.32942450592883,3.10199051383403
5028,"Melhus",13169,17123,18533,19615,3954,1410,2492,3.86285869565216,4.68502826086956,5.13348438735178,5.73142588932806,0.8221695652174,0.44845612648222,1.0463976284585
3447,"Søndre Land",6073,5535,5728,5933,-538,193,398,0.763698913043473,1.02957065217391,1.17459160079051,1.36795286561265,0.265871739130437,0.1450209486166,0.33838221343874
5056,"Hitra",4923,5156,5854,6356,233,698,1200,4.19387282608695,4.57126630434782,4.77711729249012,5.05158527667984,0.377393478260871,0.205850988142299,0.48031897233202
3234,"Lunner",8264,9144,9736,10220,880,592,1076,1.74689999999999,2.19517826086956,2.43969367588933,2.76571422924901,0.44827826086957,0.24451541501977,0.57053596837945
4640,"Sogndal",10362,12097,13216,13889,1735,1119,1792,4.13460978260871,3.90638152173913,3.78189337944664,3.61590918972332,-0.22822826086958,-0.12448814229249,-0.29047233201581
3320,"Flå",1102,1057,1255,1311,-45,198,254,0.622349999999997,0.741971739130433,0.807219960474308,0.894217588932807,0.119621739130436,0.065248221343875,0.152245849802374
1865,"Vågan",9229,9724,10263,10431,495,539,707,1.02970760869566,0.935579347826087,0.884236660079052,0.815779743083004,-0.094128260869573,-0.051342687747035,-0.119799604743083
5616,"Hasvik",1200,964,1104,1189,-236,140,225,0.218504347826088,0.155582608695653,0.121261660079052,0.0755003952569177,-0.062921739130435,-0.034320948616601,-0.0800822134387353
1859,"Flakstad",1575,1216,1317,1324,-359,101,108,0.176654347826086,0.21496304347826,0.235858695652174,0.263719565217391,0.038308695652174,0.020895652173914,0.048756521739131
3105,"Sarpsborg",47447,58182,63281,66973,10735,5099,8791,19.5413184782608,24.3910467391304,27.0363530632411,30.5634281620553,4.8497282608696,2.6453063241107,6.1723814229249
1525,"Stranda",4677,4467,4290,4298,-210,-177,-169,2.76265760869566,2.68774239130434,2.64687954545454,2.59239575098814,-0.0749152173913199,-0.0408628458498002,-0.0953466403162002
5534,"Karlsøy",2496,2179,2457,2541,-317,278,362,2.58467282608696,2.71718804347826,2.78946907114625,2.88584377470356,0.1325152173913,0.0722810276679904,0.1686557312253
3218,"Ås",13568,20780,25559,28182,7212,4779,7402,5.11935652173909,7.19170434782606,8.32207588932807,9.82923794466405,2.07234782608697,1.13037154150201,2.63753359683799
3411,"Ringsaker",31622,35073,36622,38036,3451,1549,2963,7.92873586956517,11.2290554347826,13.029229743083,15.4294621541501,3.30031956521743,1.8001743083004,4.2004067193675
4227,"Kvinesdal",5554,5883,6273,6174,329,390,291,1.62841304347825,2.15252608695652,2.43840592885375,2.81957905138339,0.52411304347827,0.28587984189723,0.66705296442687
3305,"Ringerike",27917,31011,33107,35080,3094,2096,4069,8.89770326086955,11.4786880434783,12.8864979249012,14.7635777667984,2.58098478260875,1.4078098814229,3.2848897233201
4611,"Etne",3917,4043,3942,3783,126,-101,-260,1.75573369565216,2.26742282608695,2.54652598814229,2.91866353754941,0.51168913043479,0.27910316205534,0.65124071146246
4211,"Gjerstad",2509,2427,2447,2423,-82,20,-4,0.703594565217379,1.10509239130434,1.32409120553359,1.61608962450592,0.401497826086961,0.21899881422925,0.51099723320158
4005,"Notodden",12272,13029,13570,13535,757,541,506,4.72163478260869,5.64495652173913,6.14858656126483,6.82009328063241,0.92332173913044,0.5036300395257,1.17513675889328
3428,"Alvdal",2417,2445,2487,2359,28,42,-86,1.39465760869565,1.37499456521739,1.3642692687747,1.34996887351779,-0.0196630434782599,-0.01072529644269,-0.0250256916996001
3417,"Grue",5442,4548,4553,4533,-894,5,-15,1.42747826086956,1.55582608695652,1.62583399209486,1.71917786561265,0.12834782608696,0.07000790513834,0.16335177865613
4618,"Ullensvang",12440,10881,10544,10070,-1559,-337,-811,20.2536586956522,22.9666108695651,24.4464029644268,26.4194590909091,2.7129521739129,1.4797920948617,3.452848221344
4220,"Bygland",1351,1134,1302,1341,-217,168,207,0.695230434782605,0.902308695652174,1.0152604743083,1.16586284584981,0.207078260869569,0.112951778656126,0.263554150197636
1860,"Vestvågøy",10750,11566,11759,11800,816,193,234,0.948785869565214,1.34809239130435,1.56589594861661,1.85630069169961,0.399306521739136,0.21780355731226,0.50820830039526
1848,"Steigen",2977,2591,2795,2877,-386,204,286,0.859206521739129,1.01428043478261,1.0988662055336,1.21164723320158,0.155073913043481,0.0845857707509901,0.19736679841897
4225,"Lyngdal",8594,10480,11234,11439,1886,754,959,3.45395543478259,4.91314891304347,5.70907262845852,6.77030424901188,1.45919347826088,0.79592371541505,1.85715533596841
4206,"Farsund",9630,9622,9804,9599,-8,182,-23,5.55960326086956,5.92752717391304,6.12821294466404,6.39579397233202,0.36792391304348,0.200685770751,0.46826679841898
4201,"Risør",7000,6735,6869,6904,-265,134,169,2.98016413043477,4.16387934782608,4.80954219367588,5.67042598814229,1.18371521739131,0.645662845849801,1.50654664031621
4014,"Kragerø",10656,10351,10287,10069,-305,-64,-282,3.63525652173905,6.21473478260864,7.6217229249012,9.4977071146245,2.57947826086959,1.40698814229256,3.28297233201586
4226,"Hægebostad",1621,1704,1742,1691,83,38,-13,0.457522826086951,0.654955434782607,0.762645948616602,0.906233300395258,0.197432608695656,0.107690513833995,0.251277865612651
1121,"Time",13317,19353,21558,23350,6036,2205,3997,4.5699163043478,6.18672717391303,7.06862401185773,8.24448646245061,1.61681086956523,0.8818968379447,2.05775928853758
4639,"Vik",2965,2560,2387,2170,-405,-173,-390,2.50004347826087,2.5395652173913,2.56112252964427,2.58986561264822,0.0395217391304303,0.0215573122529698,0.0503003952569196
1813,"Brønnøy",7433,7777,7690,7395,344,-87,-382,1.12704456521739,1.35687717391304,1.48224041501976,1.64939140316206,0.22983260869565,0.12536324110672,0.29251422924902
1815,"Vega",1414,1175,1210,1209,-239,35,34,0.0643010869565216,0.0725771739130434,0.0770914031620554,0.0831103754940712,0.00827608695652179,0.004514229249012,0.0105332015810278
5544,"Nordreisa - Ráisa - Raisi",4821,4746,4785,4642,-75,39,-104,1.28328260869565,1.22161304347826,1.18797509881423,1.14312450592885,-0.06166956521739,-0.03363794466403,-0.07848853754941
3124,"Aremark",1451,1315,1436,1515,-136,121,200,0.699133695652169,1.00750108695652,1.17570148221344,1.39996867588933,0.308367391304351,0.16820039525692,0.39246758893281
3216,"Vestby",11815,18699,21840,24377,6884,3141,5678,5.5866326086956,9.3929673913043,11.46915,14.2373934782609,3.8063347826087,2.0761826086957,4.8444260869566
1146,"Tysvær",8828,11283,12205,12722,2455,922,1439,5.14610217391296,7.46634130434779,8.73192628458501,10.4193729249012,2.32023913043483,1.26558498023722,2.95303162055341
3454,"Vang",1675,1587,1864,1976,-88,277,389,3.28203586956521,4.37657282608693,4.97359298418972,5.76961986166009,1.09453695652172,0.59702015810279,1.39304703557316
4647,"Sunnfjord",19052,22116,22658,22428,3064,542,312,6.14046521739131,6.29589130434782,6.38066916996047,6.49370632411067,0.15542608695651,0.0847778656126499,0.19781501976285
3431,"Dovre",2851,2498,2534,2462,-353,36,-36,3.7815652173913,4.15158260869565,4.35341027667984,4.6225138339921,0.37001739130435,0.20182766798419,0.47093122529645
5518,"Loabák - Lavangen",1052,970,910,851,-82,-60,-119,0.366838043478261,0.387361956521739,0.398556818181818,0.413483300395257,0.020523913043478,0.011194861660079,0.026121343873518
3909,"Larvik",42765,47777,50657,52651,5012,2880,4874,27.9095673913042,34.7237804347825,38.4406239130434,43.3964152173912,6.8142130434783,3.71684347826091,8.6726347826087
1124,"Sola",18915,27568,31401,33906,8653,3833,6338,9.90719021739119,13.483027173913,15.4334836956522,18.0340923913043,3.57583695652181,1.9504565217392,4.5510652173913
1122,"Gjesdal",8911,12131,13133,14007,3220,1002,1876,2.79030326086955,3.92346195652173,4.54154851778656,5.36566393280632,1.13315869565218,0.61808656126483,1.44220197628459
3114,"Våler (Østfold)",4059,5913,7284,8431,1854,1371,2518,1.6618206521739,3.11639673913044,3.90980187747035,4.96767539525691,1.45457608695654,0.79340513833991,1.85127865612647
5055,"Heim",5866,5884,6192,5893,18,308,9,2.10775108695653,2.02770978260869,1.98405088932806,1.92583903162055,-0.0800413043478398,-0.0436588932806301,-0.10187075098814
4613,"Bømlo",10739,12061,12145,11879,1322,84,-182,3.70849891304343,5.79847499999997,6.93846195652175,8.45844456521739,2.08997608695654,1.13998695652178,2.65996956521742
1547,"Aukra",2978,3518,4066,4398,540,548,880,0.953080434782578,2.0011108695652,2.5727638339921,3.33496778656127,1.04803043478262,0.5716529644269,1.33385691699607
3328,"Ål",4789,4650,5330,5242,-139,680,592,2.01405326086957,2.21109456521739,2.31857164031621,2.46187440711463,0.19704130434782,0.10747707509882,0.25077984189724
1838,"Gildeskål",2351,1894,2209,2304,-457,315,410,0.257722826086957,0.280790217391304,0.293372430830039,0.31014871541502,0.023067391304347,0.012582213438735,0.029358498023716
4621,"Voss",14770,15875,17193,17546,1105,1318,1671,7.39524130434782,7.85208913043477,8.10127885375495,8.43353181818182,0.45684782608695,0.24918972332018,0.58144268774705
3336,"Rollag",1492,1370,1446,1466,-122,76,96,0.421816304347826,0.440618478260869,0.450874209486166,0.464548517786561,0.018802173913043,0.010255731225297,0.023930039525692
1531,"Sula",7070,9547,10326,10981,2477,779,1434,1.4147804347826,1.84932391304348,2.0863476284585,2.40237924901186,0.43454347826088,0.23702371541502,0.55305533596838
1566,"Surnadal",6252,5849,5746,5358,-403,-103,-491,2.5312695652174,2.44604347826087,2.39955652173913,2.33757391304348,-0.08522608695653,-0.0464869565217398,-0.10846956521739
5532,"Balsfjord",5749,5576,5654,5655,-173,78,79,3.45457173913043,3.85992391304347,4.08102509881423,4.3758266798419,0.40535217391304,0.22110118577076,0.51590276679843
1828,"Nesna",1882,1698,2104,2235,-184,406,537,0.147326086956521,0.172447826086956,0.186150592885375,0.204420948616601,0.025121739130435,0.013702766798419,0.031973122529645
3430,"Os",2148,1855,1906,1876,-293,51,21,0.555123913043479,0.462423913043478,0.411860276679843,0.344442094861662,-0.0927000000000009,-0.050563636363635,-0.117981818181816
4214,"Froland",4497,6098,6846,7459,1601,748,1361,1.21667282608692,2.88810978260869,3.79980266798419,5.01539318181818,1.67143695652177,0.9116928853755,2.12728339920949
1119,"Hå",13921,19296,20614,21551,5375,1318,2255,8.70734347826084,11.2692130434782,12.6665964426877,14.5297743083004,2.56186956521736,1.3973833992095,3.2605612648222
4028,"Kviteseid",2667,2452,2505,2513,-215,53,61,0.909332608695635,1.5803804347826,1.94640652173913,2.43444130434782,0.671047826086965,0.36602608695653,0.85406086956522
4631,"Alver",22430,29593,30727,31835,7163,1134,2242,9.72003913043471,13.0439347826087,14.8569687747036,17.27434743083,3.32389565217399,1.8130339920949,4.2304126482213
5618,"Måsøy",1477,1162,1239,1334,-315,77,172,0.485315217391306,0.439336956521739,0.41425790513834,0.380819169960474,-0.045978260869567,-0.025079051383399,-0.058517786561265
3901,"Horten",23764,27502,28740,29859,3738,1238,2357,8.61823369565212,10.3594010869565,11.3091287549407,12.5754323122529,1.74116739130438,0.949727667984199,2.2160312252964
1563,"Sunndal",7368,6932,7219,6812,-436,287,-120,8.52389021739132,8.44666630434782,8.40454416996047,8.34838132411067,-0.0772239130435004,-0.0421221343873501,-0.0982849802371497
3226,"Aurskog-Høland",13235,17754,19010,20818,4519,1256,3064,5.55333260869565,7.40533695652175,8.41552114624505,9.76243339920948,1.8520043478261,1.0101841897233,2.35709644268773
3903,"Holmestrand",19652,25681,30218,33427,6029,4537,7746,11.2231858695652,13.2974315217391,14.4288382411067,15.9373805335968,2.0742456521739,1.1314067193676,2.6399490118577
4022,"Seljord",2928,2889,2963,2930,-39,74,41,1.18919347826085,1.57951956521739,1.79242470355732,2.07629822134387,0.39032608695654,0.21290513833993,0.49677865612648
4636,"Solund",959,768,760,778,-191,-8,10,0.442780434782609,0.421454347826087,0.409821936758893,0.394312055335968,-0.021326086956522,-0.011632411067194,-0.027142292490119
5052,"Leka",714,570,678,704,-144,108,134,0.0419282608695651,0.0478369565217391,0.0510598814229249,0.0553571146245059,0.005908695652174,0.00322292490118579,0.00752015810276679
3330,"Hol",4642,4504,4734,4891,-138,230,387,3.39438913043478,3.73314130434781,3.91791521739131,4.1642804347826,0.33875217391303,0.1847739130435,0.43113913043479
3412,"Løten",7188,7715,8311,8558,527,596,843,1.21587065217389,1.86447717391304,2.21826254940712,2.6899763833992,0.64860652173915,0.35378537549408,0.82549920948616
5612,"Guovdageaidnu - Kautokeino",3068,2877,2710,2550,-191,-167,-327,1.61693804347827,1.29538369565218,1.11999041501976,0.88613270750988,-0.32155434782609,-0.17539328063242,-0.4092509881423
1816,"Vevelstad",592,462,531,534,-130,69,72,0.347341304347831,0.269354347826087,0.226816007905138,0.170098221343873,-0.077986956521744,-0.042538339920949,-0.099256126482214
1135,"Sauda",5081,4525,4397,4162,-556,-128,-363,1.63714891304348,1.73816413043478,1.79326333992095,1.86672895256917,0.1010152173913,0.0550992094861702,0.12856482213439
5060,"Nærøysund",9220,9732,9998,9876,512,266,144,1.80388369565216,2.55015978260869,2.95721946640316,3.49996571146244,0.74627608695653,0.40705968379447,0.94980592885375
4003,"Skien",49592,55513,58972,60551,5921,3459,5038,15.0350576086955,19.543177173913,22.0021514822134,25.2807838932806,4.5081195652175,2.4589743083004,5.7376067193676
3414,"Nord-Odal",5089,5016,4858,4824,-73,-158,-192,0.776924999999991,1.10407499999999,1.28252045454546,1.52044772727273,0.327149999999999,0.17844545454547,0.41637272727274
5045,"Grong",2565,2287,2438,2466,-278,151,179,0.580196739130436,0.490177173913043,0.441075592885376,0.375606818181819,-0.090019565217393,-0.049101581027667,-0.114570355731224
4223,"Vennesla",12141,15123,16371,17307,2982,1248,2184,3.33943043478257,4.79445652173911,5.5881071146245,6.64630790513832,1.45502608695654,0.79365059288539,1.85185138339921
3222,"Lørenskog",29505,44693,56641,63803,15188,11948,19110,6.9193663043478,8.31630326086956,9.0782688735178,10.0942230237154,1.39693695652176,0.76196561264824,1.77791976284584
1866,"Hadsel",8321,8107,8252,8057,-214,145,-50,0.694418478260866,0.813903260869562,0.879076778656126,0.96597480237154,0.119484782608696,0.065173517786564,0.152071541501978
1133,"Hjelmeland",2756,2534,2689,2680,-222,155,146,1.20447391304348,1.44520434782608,1.57651185770751,1.7515885375494,0.2407304347826,0.13130750988143,0.30638418972332
5021,"Oppdal",6288,7066,7551,7501,778,485,435,4.51758913043479,4.65074999999999,4.72338320158103,4.82022747035573,0.1331608695652,0.0726332015810405,0.169477470355741
5526,"Sørreisa",3294,3414,3531,3422,120,117,8,0.546622826086955,0.668064130434782,0.734304841897234,0.822625790513834,0.121441304347827,0.066240711462452,0.154561660079052
5025,"Røros - Rossen",5545,5572,5945,6018,27,373,446,1.87895543478261,1.74381847826087,1.67010741106719,1.57182598814229,-0.13513695652174,-0.07371106719368,-0.17199249011858
3214,"Frogn",12972,16084,16930,18101,3112,846,2017,3.6796304347826,4.79242173913043,5.39939881422926,6.20870158102766,1.11279130434783,0.60697707509883,1.41627984189723
4650,"Gloppen",5769,5875,5857,5715,106,-18,-160,3.6569641304348,3.227175,2.99274456521739,2.68017065217391,-0.4297891304348,-0.23443043478261,-0.54700434782609
1514,"Sande",3081,2422,2401,2375,-659,-21,-47,0.777453260869567,0.69666847826087,0.6526040513834,0.593851482213439,-0.080784782608697,-0.0440644268774699,-0.102816996047431
4642,"Lærdal",2202,2117,2188,2152,-85,71,35,5.16885652173913,6.04420434782607,6.52166679841897,7.15828339920948,0.87534782608694,0.4774624505929,1.11407905138341
1505,"Kristiansund",22124,24013,24628,24346,1889,615,333,6.68374239130432,8.41997934782609,9.36701768774704,10.6297354743083,1.73623695652177,0.947038339920951,2.20975612648221
4221,"Valle",1439,1169,1213,1187,-270,44,18,1.12200652173913,1.25281956521739,1.32417213438735,1.41930889328063,0.13081304347826,0.0713525691699601,0.16648932806324
3449,"Sør-Aurdal",3389,2889,2710,2625,-500,-179,-264,0.814861956521739,0.819538043478261,0.822088636363636,0.82548942687747,0.004676086956522,0.00255059288537507,0.00595138339920898
3240,"Eidsvoll",17524,26716,31365,35067,9192,4649,8351,5.12444347826079,8.72037391304343,10.681790513834,13.2970126482213,3.59593043478264,1.96141660079057,4.57663873517787
4645,"Askvoll",3349,2951,2938,2788,-398,-13,-163,0.977057608695654,0.948472826086955,0.932881126482213,0.912092193675889,-0.0285847826086989,-0.015591699604742,-0.036380632411066
3322,"Nesbyen",3528,3273,3174,3050,-255,-99,-223,1.21608586956522,1.0687402173913,0.988369861660079,0.881209387351778,-0.14734565217392,-0.0803703557312211,-0.187530830039522
1106,"Haugesund",30362,37444,39919,41120,7082,2475,3676,10.3432597826087,10.9289054347826,11.2483485177866,11.6742726284585,0.5856456521739,0.319443083004,0.7453671936759
1576,"Aure",3823,3384,3378,3243,-439,-6,-141,1.96046413043479,1.85764891304348,1.80156788537549,1.72679318181818,-0.10281521739131,-0.0560810276679899,-0.1308557312253
3419,"Våler (Innlandet)",4063,3597,3557,3502,-466,-40,-95,1.70210543478261,1.81916413043478,1.88301432806324,1.96814792490119,0.11705869565217,0.06385019762846,0.14898379446641
1836,"Rødøy",1570,1153,1076,982,-417,-77,-171,0.661030434782621,0.400813043478262,0.258876284584979,0.0696272727272724,-0.260217391304359,-0.141936758893283,-0.33118577075099
4010,"Siljan",2269,2349,2506,2674,80,157,325,0.507824999999993,0.704983695652171,0.812524802371542,0.95591294466403,0.197158695652178,0.107541106719371,0.250929249011859
3415,"Sør-Odal",7349,7978,8570,9034,629,592,1056,2.05863260869562,3.47057608695651,4.2407270750988,5.26759505928853,1.41194347826089,0.77015098814229,1.79701897233202
1508,"Ålesund",45776,57690,60456,62151,11914,2766,4461,9.96990652173906,12.6762847826087,14.1524911067193,16.1207662055336,2.70637826086964,1.4762063241106,3.4444814229249
